popularity,source_package,binary_package,script,already_done
,aodh,aodh-evaluator,aodh-evaluator,1
,aodh,aodh-expirer,aodh-expirer,1
,aodh,aodh-listener,aodh-listener,1
,aodh,aodh-notifier,aodh-notifier,1
,apache-directory-server,apacheds,apacheds,1
,python-ara,ara-server,ara-server,1
,nordugrid-arc,nordugrid-arc-arex,arc-arex,1
,nordugrid-arc,nordugrid-arc-arex,arc-arex-ws,1
,nordugrid-arc,nordugrid-arc-datadelivery-service,arc-datadelivery-service,1
,nordugrid-arc,nordugrid-arc-gridftpd,arc-gridftpd,1
,nordugrid-arc,nordugrid-arc-infosys-ldap,arc-infosys-ldap,1
,nordugrid-arc,nordugrid-arc-hed,arched,1
,linux-atm,atm-tools,atm,1
,audit,auditd,auditd,1
,barbican,barbican-api,barbican-api,1
,barbican,barbican-keystone-listener,barbican-keystone-listener,1
,barbican,barbican-worker,barbican-worker,1
,biometric-authentication,biometric-auth,biometric-authentication,1
,netkit-bootparamd,bootparamd,bootparamd,1
,boxbackup,boxbackup-client,boxbackup-client,1
,boxbackup,boxbackup-server,boxbackup-server,1
,carbon-c-relay,carbon-c-relay,carbon-c-relay,1
,ceilometer,ceilometer-agent-central,ceilometer-agent-central,1
,ceilometer,ceilometer-agent-compute,ceilometer-agent-compute,1
,ceilometer,ceilometer-agent-ipmi,ceilometer-agent-ipmi,1
,ceilometer,ceilometer-agent-notification,ceilometer-agent-notification,1
,ceilometer,ceilometer-polling,ceilometer-polling,1
,cinder,cinder-api,cinder-api,1
,cinder,cinder-backup,cinder-backup,1
,cinder,cinder-scheduler,cinder-scheduler,1
,cinder,cinder-volume,cinder-volume,1
,clickhouse,clickhouse-server,clickhouse-server,1
,cloudkitty,cloudkitty-api,cloudkitty-api,1
,cloudkitty,cloudkitty-processor,cloudkitty-processor,1
,conntrack-tools,conntrackd,conntrackd,1
,conserver,conserver-server,conserver-server,1
,courier,courier-mta,courier,1
,courier,courier-imap,courier-imap,1
,courier,courier-imap,courier-imap-ssl,1
,courier,courier-ldap,courier-ldap,1
,courier,courier-mlm,courier-mlm,1
,courier,courier-mta,courier-msa,1
,courier,courier-mta,courier-mta,1
,courier,courier-mta,courier-mta-ssl,1
,courier,courier-pop,courier-pop,1
,courier,courier-pop,courier-pop-ssl,1
,courier,courier-mta,courierfilter,1
,crossfire,crossfire-server,crossfire-server,1
,gavodachs,gavodachs2-server,dachs,1
,dante,dante-server,danted,1
,dlm,dlm-controld,dlm,1
,dovecot,dovecot-core,dovecot,1
,golang-github-coreos-discovery-etcd-io,etcd-discovery,etcd-discovery,1
,firebird3.0,firebird3.0-server,firebird3.0,1
,freezer-api,freezer-api,freezer-api,1
,fwknop,fwknop-server,fwknop-server,1
,ganglia,ganglia-monitor,ganglia-monitor,1
,gearmand,gearman-job-server,gearman-job-server,1
,gfarm,gfmd,gfmd,1
,gfarm,gfsd,gfsd,1
,globus-gridftp-server,globus-gridftp-server-progs,globus-gridftp-server,1
,globus-gridftp-server,globus-gridftp-server-progs,globus-gridftp-sshftp,1
,ganglia,gmetad,gmetad,1
,gnocchi,gnocchi-api,gnocchi-api,1
